english	ukrainian	gender	note
Disney Dreamlight Valley	Disney Dreamlight Valley	-	game title/logo only — keep Latin; in prose use «Долина Сновидінь»
Dreamlight Valley	Долина Сновидінь	f	"fixed; ""the Valley"" = «Долина» (capitalized)"
Valley	Долина	f	= Dreamlight Valley; capitalized
Heart of Dreamlight Valley	Серце Долини Сновидінь	n	
Dreamlight	Дрімлайт	m	magic + currency; declines as m (500 Дрімлайту, магія Дрімлайту); see notes
Dreamlight Magic	магія Дрімлайту	f	
Dreamlight Duties	Обов'язки Дрімлайту	pl	
Dreamlight Library	Бібліотека Дрімлайту	f	
Dreamlight Tree	Дерево Дрімлайту	n	
Dreamlight Trees	Дерева Дрімлайту	pl	
Dreamlight Tree Seed	Насінина Дерева Дрімлайту	f	
Dreamlight Fruit	Плід Дрімлайту	m	
Dreamlight Magnifier	Лупа Дрімлайту	f	
Dreamlight Day	День Дрімлайту	m	
Dreamlight Parks Fest	Фестиваль парків Дрімлайту	m	
Parks Fest	Фестиваль парків	m	
Dreamlight for Days	Дрімлайту — хоч греблю гати	-	"achievement; idiom = ""loads of it"""
Dreamscape	Країна снів	f	
Village	Долина	f	the Valley's village = the Valley itself (as the Russian does); «жителі Долини»
Valley Villager	житель Долини	m	
Valley Villagers	жителі Долини	pl	
Villager	житель	m	pl жителі; lowercase in prose
Eternity Isle	Острів Вічності	m	fixed
The Storybook Vale	Казкова долина	f	DLC region; «долина» lowercase so it never clashes with «Долина» (= Dreamlight Valley)
Storybook Vale	Казкова долина	f	
Everafter	Вічноказка	f	"Storybook Vale fairy-tale realm (у Вічноказці, з Вічноказки); from ""happily ever after"""
Neverafter	Лихоказка	f	force of unhappy endings, antonym of Вічноказка (з Лихоказки)
Mythopia	Міфопія	f	у Міфопії
The Bind	Палітурка	f	hub of the Storybook Vale; pun: book-binding = палітурка (у Палітурці)
Binding Spell	Скріплювальне закляття	n	
The Unwritten Realms	Ненаписані світи	pl	
Unwritten Realms	Ненаписані світи	pl	
Realm	Світ	m	Disney realm behind a Dream Castle door
Realms	Світи	pl	
Floating Islands	Летючі острови	pl	
Dream Castle	Замок Мрій	m	
Here and There	Тут-і-Там	n	the realm/space the Fox comes from; indeclinable, in quotes: з «Тут-і-Там»
Here and There Fox	Лис із «Тут-і-Там»	m	
Here and There Spirit	Дух із «Тут-і-Там»	m	
The Forgotten	Забуті	pl	speaker: n/a (group); a single one = Забутий
Night Thorns	Нічні терни	pl	
Night Thorn	Нічний терен	m	
Giant Night Thorns	Велетенські нічні терни	pl	
Night Mites	Нічні кліщики	pl	
Night Shard	Нічний осколок	m	
Night Shards	Нічні осколки	pl	
Purified Night Shards	Очищені нічні осколки	pl	
Purified Night Shard	Очищений нічний осколок	m	
Dream Shards	Осколки мрій	pl	
Dark Magic	Темна магія	f	
Dark Entity	Темна сутність	f	
Spark of Imagination	Іскра Уяви	f	
Story Magic	Магія історій	f	
Storybook Magic	Казкова магія	f	currency
Wish Magic	Магія бажань	f	
Touch of Magic	Дотик магії	m	
Heart of Stories	Серце Історій	n	
Fear Essence	Есенція страху	f	
Minor Essences	Малі есенції	pl	
Memories	Спогади	pl	quest items
Memory Pieces	Фрагменти спогадів	pl	
