english	ukrainian	gender	note
Trick-or-Treat	«Солодощі або капость»	-	event; not: «Солодощі або лихо»; «…страхіття»; «…пустощі»
Summer Sizzle	«Спекотне літо»	n	event; not: «Літня спека»
Sugar Rush	«Цукровий форсаж»	m	Wreck-It Ralph game; not: «Солодкий форсаж»; «Цукрова лихоманка»
Memory Mania	«Манія спогадів»	f	event; not: «Спогадоманія»
Season of Scares	«Сезон жахів»	m	not: «Сезон страхіть»
Eggstravaganza	«Яйцефеєрія»	f	event
Picture Pursuit	«Фотополювання»	n	event
Valley Valentines	«Валентинки Долини»	pl	event
Lucky You!	«Оце так щастя!»	-	not: «Щасливчик!»
The Gift of Giving	«Радість дарувати»	f	not: «Дар дарування»; «Свято дарування»
Pixel Perfect	«Піксель у піксель»	-	not: «Піксельна досконалість»
A Rift in Time	«Розлом у часі»	m	expansion
Expansion Pass	Пропуск доповнення	m
Keepsake Sea	Море спогадів	n
Grand Exhibition	Велика виставка	f
Majestea	Величай	m	tea plant, majesty+чай pun; not: «Королівський чай»; «Цар-чай»
Dreamango	мріянго	n	fruit; not: дрімманго; Дріманго
Pupcorn	гавкорн	m	not: пескорн
Twistroot	кручекорінь	m
Bumblestone	джмелиний камінь	m	not: Джмелит
Evergem	вічнокамінь	m	not: вічносамоцвіт
Decay	Тлін	m	not: Занепад
The Forgetting	Забуття	n
Realmweaver	Ткач Світів	m
Doorine	Дверина	f
Scramblecoin	«Монетна колотнеча»	f
Ancient Cooker	Давня мультиварка	f	not: Давній кухар
Ancient Gardener	Давній садівник	m
Ancient Vacuum	Давній пилосос	m
Slow Cooker	Мультиварка	f	not: Повільноварка
Forky	Форкі	m	speaker: male; not: Вилкінс
Buy n Large	«Купуй Більше»	-	WALL·E corporation; BnL = «КБ»; not: БнЛ
Toontown	Мультяшне містечко	n	not: Мультмістечко
Boutique	Бутик	m	not: Бутік
Stitch-able Fashion	«Мода від Стіча»	f	NEVER «Стічна» (стічна = sewage)
Poutine	путін (канадська картопля з сиром)	m	NEVER write the bare word «Путін»; use «канадська картопля з сиром»
Big Hero 6	«Місто героїв»	n
Frozen	«Крижане серце»	n	film title; not: «Заморожене»
Routine Duties	Повсякденні обов'язки	pl	not: Регулярні обов'язки
Hangout Bonus	Бонус за спільне дозвілля	m
Best Friend Glow	Сяйво найкращого друга	n
Core Memory	Ключовий спогад	m	Inside Out
Anchor Moment	Ключовий момент	m
Night Mare	«Кошмарна кобила»	f
Tiggerific	тигрочудовий	-	adjective
Sandy Claws	Санді Клешня	m	Santa Claus pun (Nightmare Before Christmas)
Scavenger Hunt	Пошук скарбів	m
Treasure Hunt	«Полювання на скарби»	n	event
Haunted Portrait	Примарний портрет	m
Ghostly Paint Thinner	Примарний розчинник фарби	m
Genuinely Lucky Wheel	Справжнє Колесо удачі	n
Ghost Lantern	Примарний ліхтар	m
Preset	Шаблон	m	outfit/decor presets in UI; not: образ
Quest	Завдання	n	never «квест»
Dreamlight Duties	Обов'язки Дрімлайту	pl
Star Coins	Зоряні монети	pl	capitalized
Moonstones	Місячні камені	pl
Memento(s)	Пам'ятка / Пам'ятки	f	quest keepsakes; distinct from Memory = Спогад
Jabberwock	Джабервок	m	Alice; matches phase A; not: Бармаглот (Russian tradition); "Mimsy were the borogoves" = «Хливкі були шорькалі»
Unbirthday	ненародини	pl	
Happy Alice	Весела Аліса	f	pairs with Сумна Аліса
Pillar of Nurturing	Колона Плекання	f	matches Сфера Плекання; not: Колона Турботи
Journal	Щоденник	m	the Beauty & Beast realm journal; not: Журнал
Mastermind	Злий Геній	m	
Chockany Gumbottom	Чокані Жуйкопуз	m	Sugar Rush racer
Marshmafrost Mintwizzle	Зефіромороз М'ятноніс	m	
Gyro Gearloose	Гвинт Торохтій	m	
KnowsMore	Всезнайко	m	
Nicelanders	Добрянчики	pl	
Marshmallow (Frozen snow giant)	Зефірчик	m	not: Зефірко
Grand Pabbie	Великий Паббі	m	
Slaughter Race	«Убивчі перегони»	-	Wreck-It Ralph 2 game
Memory Map	Карта спогадів	f	
Admiral Knickerbocker	адмірал Панталончик	m	
duty/doodie pun	обов'язки / обкакязки	-	Vanellope joke (B076/B077)
Rat's Inn	Щуряча корчма	f	not: Корчма Щура
Storyteller (Vanellope's game)	Оповідачка	f	
FUNQUEST / QUESTINATION	ВЕСЕЛОКВЕСТ / КВЕСТОПУНКТ	-	game titles inside Vanellope's quest (the only allowed «квест»)
Story Storm	Сюжетний смерч	m	not: Сюжетна буря
Story Sickness	Сюжетна хвороба	f	
Prime Quill Bureaucrat	Головний Бюрократ Пера	m	
Seven Dwarfs	семеро гномів	pl	Doc = Док; Grumpy = Буркотун; Happy = Веселун; Sleepy = Сонько; Bashful = Скромник; Sneezy = Чхун; Dopey = Простачок
Professor Mouffette	Професор Муффет	m	
Darling! (Cruella's magazine)	«Золотко!»	n	not: «Серденько!»
darling (Cruella's address)	золотко	-	Cruella only; not: любчику, серденько
Jellied Salad	Желейний салат	m	
HELP (Tigger letter puzzle)	«НА ДОПОМОГУ!» (Cyrillic «Н» = ladder rung)	-	not: НА ПОМІЧ; honey scene: «НІ, МЕД»
Woozle(s)	Візл / Візли	m	not: Вузл (вузли = knots), Бука, Вузлики
Snootyscowl	Пихохмурка	f	
Mirage Wizard	Чарівник Міражів	m	
Gastonian	гастонівський	-	adjective
Mr. Little Fox	Містер Лисик	m	not: Пан Лисик
Ravenous Boar	Ненажерливий Вепр	m	not: Кабан
Herc (nickname)	Герк	m	
Mind Worker(s)	працівник/працівники Розуму	m	Inside Out
Memory Dump	Звалище спогадів	n	
recall tube	труба спогадів	f	
Dream Productions	«Студія снів»	f	
Pidge (Tramp → Lady)	Голубка / Голубко	f	
Darling (Jim Dear's wife)	Люба	f	pairs with Любий Джим
Rolling Spaghetti	Спагеті-перекотиполе	n	not: Перекоти-спагеті
Higitus Figitus	Хігітус Фігітус	-	Merlin spell; not: Гігітус-Фігітус
Slinky (Toy Story dog)	Пружинка	m	not: Слінкі
Hamm	Хемм	m	
Tweedle Dee / Tweedle Dum	Труляля / Траляля	m	
Sparkling (Fishing Pole/Hat/Package)	Іскриста вудка / Іскристий капелюх / Іскристий пакунок	-	not: Блискуча
Snake and Spider Stew	Рагу зі змій і павуків	n	not: Юшка
Whack-a-Pumpkin	«Прибий гарбуза»	-	not: Вибий гарбуза
Ghostie(s)	привидик / привидики	m	not: привиденята
McDuck Construction	«Макдак-Буд»	-	not: Будівництво Макдака
Crawly / Skittery / Flutter (Mushu lucky bugs)	Повзунчик / Метушунчик / Пурхунчик	m	not: Бігунчик, Порхунчик (russism)
